numberOfOccurrences;species;taxonKey;intraSpeciesPercentage
52246;Cornus mas;3082263;12.81
51846;Danthonia decumbens;2703250;98.94
51840;Poa alpina;2704234;5.4
51792;Persicaria amphibia;6391648;18.56
51686;Lilium martagon;2753146;75.02
51668;Aquilegia vulgaris;3033191;75.65
51579;Jasione montana;8366345;80.09
51324;Betula pubescens;9118014;20.79
51276;Fumaria officinalis;5334217;54.46
51130;Equisetum palustre;2687932;16.49
51037;Trifolium arvense;5359246;3.82
51022;Sanguisorba officinalis;3029627;100.0
50820;Larix decidua;2686212;97.91
50021;Malva neglecta;3152373;23.41
49994;Senecio inaequidens;3109086;13.31
49924;Bistorta vivipara;2889299;43.29
49855;Solidago gigantea;5389017;26.37
49748;Coronilla minima;5348647;31.14
49627;Avenula pubescens;2703793;100.0
49574;Scorzoneroides autumnalis;3133512;61.16
49553;Eleocharis palustris;2717002;48.91
49349;Avena fatua;2705297;45.63
49126;Persicaria lapathifolia;2889262;17.6
48864;Cynodon dactylon;6109637;100.0
48813;Valerianella locusta;2888778;41.32
48324;Aphanes arvensis;5365013;80.36
48307;Parnassia palustris;3032585;100.0
48261;Aegopodium podagraria;3034620;100.0
48219;Salix purpurea;5372800;6.64
48081;Portulaca oleracea;3084719;97.65
47878;Achillea ptarmica;3120333;10.79
47690;Struthiopteris spicant;5275365;100.0
47404;Sonchus arvensis;3105813;12.58
47368;Hypericum tetrapterum;6436469;7.29
47102;Limodorum abortivum;5312179;99.58
47086;Conopodium majus;6026760;98.83
47060;Luzula pilosa;2700736;11.79
46890;Helosciadium nodiflorum;3631293;84.32
46695;Trocdaris verticillatum;3642051;100.0
46645;Lamium maculatum;2926684;10.63
46632;Acer opalus;7100278;6.67
46614;Gentiana pneumonanthe;7270598;16.72
46501;Arctium lappa;7353729;39.49
46435;Bupleurum falcatum;6027105;38.88
46294;Rhamnus alaternus;6371424;38.01
46219;Juniperus oxycedrus;2684451;14.71
46218;Myosotis ramosissima;7589756;13.23
